"ow_esri_emission_esri_ew_esri_ow_rank","ew_esri_emission_esri_ew_esri_ow_rank"
2.02494160439857e-06,1.28532116105631e-06
2.84115212011094e-06,1.71385694972379e-06
4.65092609358612e-06,2.14506154755761e-06
1.94396207859166e-05,2.22186062479942e-06
1.98455304547663e-05,4.46374589396577e-05
2.27947977424589e-05,6.86421797509785e-05
5.9304337454179e-05,0.000208293673612604
7.71296631724431e-05,0.000215106344806068
7.83504377773931e-05,0.000218938687274049
8.2776779982849e-05,0.000227024294798306
9.12069853138578e-05,0.000256159044034372
9.57681655913574e-05,0.000266719999474552
0.00010192094412206,0.000276958247046774
0.000170911136810385,0.00194277424252423
0.0011630026670868,0.00199878841607312
0.00120368342499493,0.0020227581631361
0.00123460541630597,0.00205631450815035
0.00129465339884103,0.0020993190365533
0.0013254012634557,0.00213128017196068
0.00137349845416513,0.00216771997312378
0.00204753600472382,0.00236463773105972
0.00214476280504403,0.00242165642160794
0.00218400139212983,0.00245031612294857
0.0023409282407916,0.00252166900591075
0.0023759664621557,0.00258189727313227
0.00259058780719588,0.00420509705312101
0.00268602255045553,0.00423284968505512
0.00277945441706681,0.00428929474867289
0.00286604281987236,0.00434538378721207
0.0031919471851113,0.00442071259509395
0.00332719928547825,0.00451761723615889
0.00407105765421992,0.00464707420949612
0.00502655441646481,0.00473990229723067
0.00515020164804793,0.00480977591926325
0.00520079028884595,0.00488622906943661
0.00578141488688968,0.00511253772070657
0.00597729866157046,0.00526551339238695
0.00603739238759714,0.00529306242657
0.00620633466039357,0.00535947194840285
0.00683710970543114,0.00558079321937531
0.00688777733481327,0.00573558578997889
0.00714552376101485,0.00578957337689443
0.00715946867076701,0.00579898868757411
0.00726766846894089,0.005858665943887
0.00729459972824117,0.0059125674675746
0.00736787653432588,0.00597753015337463
0.00769259171016296,0.0063284778791968
0.00793153862782592,0.00642699267496933
0.0080994827378144,0.00653607464070139
0.00884560669467127,0.00711625676950492
0.00950525152078222,0.00718905012441891
0.00979352547498044,0.00745296724493121
0.0101749561990097,0.00794309315944011
0.0103467565370467,0.00811647201400489
0.0105041540310032,0.00830731157227403
0.0107803364069535,0.00862976142412374
0.0113840942208805,0.00892755446245007
0.0115358072628927,0.00905782098219121
0.0139054230434374,0.010237000382884
0.0146128382595985,0.0106957198428494
0.0149285548894297,0.0108414721866283
0.0163295962926979,0.0121207779960751
0.0189421310520557,0.0137372363442392
0.0190632227554347,0.0139067633436601
0.0191719696727237,0.014285213745087
0.019562679004077,0.0144572970043686
0.0204140206331291,0.0148397882218883
0.0207517467358346,0.0149313635077889
0.023822577080346,0.0165336385306771
0.0248022187539369,0.0167495923942993
0.0254141318479884,0.0172385844096991
0.0254561652131006,0.01725171771268
0.0260875101859487,0.0175801649310678
0.0296383942910151,0.0213032109331751
0.0308738005581413,0.0216249773197991
0.0310727237630106,0.0217671818751157
0.0313030497122933,0.0221832322619584
0.0419074503997519,0.0337615808610365
0.0419509093089517,0.0338454831965878
0.0426885933315208,0.0342452223975756
0.0429410718988063,0.0344012718929553
0.043826902918875,0.0355597628801308
0.0453666393649251,0.0370078218604825
0.0512407296489257,0.0413607822233067
0.0513701664789302,0.0414422873622498
0.0521765321257438,0.0420020524860849
0.0535600651137182,0.0425103964772316
0.0543880871667835,0.0431796269314894
0.0551655338941842,0.044028443121311
0.0620364678958521,0.0504208956611057
0.0636148271964795,0.0512126750019919
0.0640670609776371,0.052510852340495
0.0647094516806124,0.053109751673281
0.0660091616501696,0.0543446483855902
0.0689962764921161,0.0557199578647039
0.0693570290210324,0.0558934179418403
0.0716735086195317,0.0586822863278086
0.0832572945273561,0.0679229520737951
0.0839273340793216,0.0681965915904349
0.08558022321509,0.0703753301697871
0.0860197742825187,0.0707497749518028
0.0900828182978378,0.0736866010036075
0.0911930379463627,0.0746350849968346
0.0917300071855811,0.0763322899282311
0.100047202263016,0.0823810002328679
0.130743171357046,0.116914189930824
0.131043072863572,0.117081296423676
0.13373436845742,0.119829536612613
0.137196541753114,0.122501970417719
0.138749346934034,0.123980371858755
0.146600960734693,0.127874551876963
0.158093982704469,0.132378159544229
0.176762062140674,0.142977912202317
0.178972038143075,0.14529567382662
0.379191078591967,0.315159294491521
0.379550111852607,0.315277969974598
0.380233543770233,0.315394353640664
0.381660972723914,0.3161179374034
0.382217666525945,0.317037175531643
