"ow_esri_emission_out_strength_rank","ew_esri_emission_out_strength_rank"
0.000987698202457548,5.52341027821922e-05
0.00106182826527011,0.00172166669349976
0.00118498082626451,0.00189352162327302
0.00118691594260018,0.00189480697854373
0.00118768785331218,0.00191700577113781
0.00122238485917128,0.00205726511145158
0.00128260739957884,0.00210037037692417
0.00152532181822586,0.00375280356867111
0.00152572975521445,0.00379522022689879
0.0016606924477232,0.00389221833593202
0.00166150416205411,0.00389264676571456
0.0016879821977403,0.003947162813022
0.00170514142397022,0.00395209992039875
0.00208272366863116,0.00444088983077358
0.0020845333709403,0.00444132020279666
0.0021158247966032,0.00447499895903528
0.00221235907269821,0.00453217175937612
0.013527407844729,0.01624375322699
0.013595209471216,0.0162894481578686
0.0144207848537742,0.0167208110546566
0.0144551780413715,0.0167467508463797
0.0144636054961531,0.0167758770154555
0.0145016515650334,0.0169146063196478
0.0145221714143721,0.0169592668548215
0.0148267261991004,0.0172954601240948
0.0148591901164403,0.0173165011724204
0.0544611211540664,0.0518557270586504
0.057696810757282,0.0541362750420284
0.0600568739295549,0.0553132713188125
0.0602097315956806,0.0554002337799388
0.0603036425759923,0.0554815111152313
0.0684661648156629,0.0596579072852241
0.0684701465476396,0.0596668255961855
0.0716545842935994,0.0613133687919092
0.071658824201458,0.0613211038895242
0.0734107839503976,0.0618357670087513
0.0740543946924206,0.0621063622479561
0.0744936776051032,0.0622367785174773
0.0763520151322767,0.0629781505701022
0.0763884044449018,0.0630418000705687
0.0763893186590775,0.06304510834119
0.302028565927305,0.275478668111529
0.302201847840685,0.275538282618095
0.302286475054047,0.27555755250977
0.302524776524857,0.275641765902957
0.302527681736243,0.275647566049528
0.302558228691846,0.275663874226007
0.303436279582264,0.27614159827406
0.303855516193744,0.276545358065887
0.30392460189962,0.276568800154789
0.304468715572783,0.276737251029747
0.304515213868024,0.276739039518161
0.30469928257175,0.276776735676773
0.304741850565075,0.276790998663084
0.305120407420035,0.277048630230687
0.305128850852973,0.277054921322298
0.30516303401489,0.27708736958674
0.305267545097368,0.277210106864232
0.305390943751409,0.277296187636323
0.305445624911694,0.27749513642369
0.305455597059832,0.277502486577974
0.308776033563267,0.278706382311113
0.308784310127127,0.278714497019169
0.308823587015523,0.27874843290243
0.308855152563424,0.278794110370454
0.308876166973472,0.278798268766704
0.309308080733399,0.278944056774864
0.309567608394708,0.279175201257253
0.309766790617442,0.279263166580721
0.311713877167965,0.279878953948505
0.312200329143629,0.28117711687402
0.312269536848639,0.281256331961291
0.312346034930065,0.281275908858512
0.3124025288694,0.281296956504776
0.312677340349596,0.281441477964948
0.312853342566786,0.281620795259812
0.312948384430504,0.281665555142373
0.313107670199235,0.281742044016176
0.31311751695567,0.281749492215591
0.313469128598773,0.282799243542839
0.313855209723693,0.283005600606405
0.313905914702194,0.283026126622069
0.315474386476352,0.283802301928251
0.315556151052949,0.283868834696131
0.315739162993151,0.284016973233665
0.31582209832983,0.284115581298696
0.315979348524814,0.284204184775905
0.316620281097563,0.285259422916545
0.316728542445802,0.285379338634954
0.318303801051675,0.285500232453035
0.318784415592185,0.285796992792198
0.318852145609457,0.285821348081252
0.3340755917839,0.293245089137801
0.334552177919709,0.293545221168857
0.362594667355878,0.306258405467462
0.363209151446327,0.306369152447073
0.365045545235272,0.306759607082775
0.365183850240991,0.306816605389778
0.365362986599041,0.307035060317232
0.366325097672463,0.308022557117191
0.366336284447503,0.308027550101285
0.366422402562714,0.308048032331132
0.36676522351316,0.30819642334224
0.36693740646176,0.308284687395525
0.368012772881953,0.309094357796159
0.368195490634117,0.309172165842483
0.368264297001016,0.309201416513984
0.368825046073214,0.310125252789223
0.369422225043872,0.310644183638849
0.370682469254131,0.311739719067063
0.37142786999792,0.312707712004877
0.372118318561146,0.312953187919822
0.372344560640253,0.313087470055716
0.373104707716602,0.313367970114921
0.380189057938767,0.316108123637412
0.3815973281536,0.316642819673152
0.381796020087624,0.316839336295297
0.381920969096515,0.316901367238272
0.382217666525945,0.317037175531643
