"ow_esri_emission_employees_rank","ew_esri_emission_employees_rank"
2.02494160439857e-06,1.28532116105631e-06
0.000989662568302141,5.65195475022499e-05
0.000990474392835618,5.69484152662745e-05
0.000992284047325156,5.73795564261533e-05
0.00201228657437358,0.000201503432893604
0.00225664995511262,0.000311514853208729
0.0029048781978743,0.000483226400762193
0.00300358890834345,0.000512340211959805
0.00302794787326324,0.000639096594005916
0.00552707679298824,0.00194004708192079
0.0150502109836906,0.00896829344575143
0.0154198421793886,0.00910846904136902
0.0310991213420856,0.0236915771711695
0.0312042210701851,0.0237002722145432
0.0335778557866699,0.0261890846742354
0.0349403571105176,0.0273279328408032
0.0351757533605806,0.0274960175773761
0.0379283044076024,0.0293602531848745
0.294267436855638,0.268240999493111
0.294493572778904,0.268321569717718
0.295443489034764,0.268591553951195
0.29931852448664,0.269862175805425
0.299374371089046,0.269882793023833
0.299724584611196,0.270066588305736
0.299745293005614,0.270070686392799
0.300339335917209,0.270339578074528
0.300382909825582,0.271974574533392
0.300488737957593,0.2720170636968
0.300518370930839,0.272032867932459
0.300563962153442,0.272053142865755
0.302107865784817,0.272514778853359
0.304085540830087,0.273020317312848
0.304503650715722,0.273163557927404
0.304891374256454,0.273427443520396
0.304940066204868,0.273472382506428
0.306435426683026,0.274334432624366
0.306494073251855,0.274368245397515
0.30651952024019,0.275805588363977
0.336291950782055,0.28929002133
0.336322849743758,0.289313911413455
0.336332046144923,0.289320994792381
0.336521750539677,0.289396832932837
0.33658853465607,0.289424205394494
0.336596391105939,0.289451352287829
0.336735195834139,0.289571615637593
0.336735870792697,0.289593677340744
0.337434546975786,0.289704487797859
0.33751001853625,0.289738474976174
0.337514262286804,0.289740792476182
0.337523943945821,0.289747169730651
0.337528280220888,0.289754976761472
0.337545076259391,0.289785132547847
0.337590674349402,0.289801292410483
0.337621377599235,0.289827387755711
0.337842984648301,0.289952401687995
0.33818927205776,0.290145187655141
0.338196748218225,0.290150614584701
0.338225082315019,0.290159867858967
0.338225673135941,0.290202271551433
0.338378849244888,0.290288307218121
0.338382152754014,0.290295675976881
0.338520611038281,0.29032779591121
0.338686607387761,0.290421791724696
0.338851535165631,0.290583156781236
0.338979218742299,0.290636978760432
0.338981563244244,0.290642810716307
0.338991270816452,0.290656890282696
0.339177121880001,0.290735746330178
0.339313769613384,0.290921371493036
0.339357479397861,0.290955465447643
0.339481823905405,0.291220702571057
0.339483035469502,0.291224983515337
0.339775736908894,0.291368512597328
0.339784385519165,0.291375330537007
0.339805269553254,0.291414256267378
0.33997989692153,0.291557759949257
0.340394060483754,0.291825854015425
0.340425122290197,0.29187099709145
0.340514155298529,0.291922549925289
0.340523465164491,0.29192987051882
0.340986270838645,0.292153100239586
0.341526022429989,0.293425075073692
0.341539014782669,0.293430129544414
0.341928846566037,0.293871859859069
0.343330927258569,0.294401681803857
0.343432055377542,0.2945227623305
0.343496674549216,0.294588359341765
0.3438447088804,0.294735343383656
0.344014254264647,0.294822291153696
0.344032547853831,0.294899581612923
0.344979231654884,0.295875185805066
0.345025064693085,0.295894628764077
0.345064863244333,0.295923033500114
0.345133846213586,0.295974324044981
0.345703578348687,0.29690672994088
0.346447797898544,0.297182920898764
0.347077847854805,0.298232848233456
0.348429365045281,0.298715043198549
0.348481897786732,0.298748616303457
0.348598914625695,0.298948860522047
0.3498388763826,0.300033772505648
0.34984835458737,0.300077309226708
0.356701548961076,0.302678261580746
0.357053940963172,0.303729582842191
0.357109658715729,0.303930559323524
0.357331670891512,0.304062440500796
0.357511279970764,0.304141555900824
0.358099989184696,0.304655234555122
0.35884529326651,0.305622619094381
0.359921138096565,0.306434536381998
0.366050446696815,0.309152844114843
0.366340518765839,0.309278461327135
0.366538661007349,0.309483797085224
0.381388221001296,0.316824652697619
