co2_rank;nace_id;nace_id_2_digit;nace_desc_2_digit;employees_rank;out_strength_rank;esri_ew_19;esri_ew_rank;esri_ow_19;esri_ow_rank;emission_employees_rank;emission_out_strength_rank;emission_esri_ew_rank;emission_esri_ow_rank;emission_esri_ew_esri_ow_arithmetic_rank;emission_esri_ew_esri_ow_geometric_rank;parent_id;parent_id_desc;color_parent_id;emissions_rel;emissions_rel_industry;emissions_rel_VS_ew_esri
17;35.11;35;Electricity, gas, steam and air conditioning supply;1;83;0.0001331719177293;41;0.0007446248708517;66;4;37;10;23;17;15;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.32684493970480966;0.9696572997496479;2454.308275181491
106;23.99;23;Manufacture of other non-metallic mineral products;17;20;8.0873869225846e-06;6;4.42614966761237e-06;7;56;35;20;14;14;16;C;MANUFACTURING;tab:cyan;0.005716015085437586;0.016957814179651812;706.78145365782
64;35.11;35;Electricity, gas, steam and air conditioning supply;23;43;2.52819664723549e-05;11;4.17271650578094e-05;19;34;47;15;17;15;17;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.027068427669051577;0.0803044358151798;1070.6614811252962
20;35.11;35;Electricity, gas, steam and air conditioning supply;56;82;0.0002370348324853;53;0.0005965258009359;58;25;45;12;21;19;18;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.27979606723262923;0.8300764860499071;1180.400636897875
72;35.3;35;Electricity, gas, steam and air conditioning supply;38;10;3.24076607612326e-05;16;2.78876968241023e-05;15;54;16;22;15;18;19;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.021301196591808548;0.06319467814708692;657.2889277244574
1;35.11;35;Electricity, gas, steam and air conditioning supply;108;111;0.0120981387196824;108;0.0119659671434804;107;20;18;23;19;20;20;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;6.978957987366723;20.704611682861156;576.8621230977201
33;35.3;35;Electricity, gas, steam and air conditioning supply;20;61;8.41231819914638e-05;33;0.0003345848986375;49;17;44;13;32;24;21;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.09669424052892152;0.28686470182863066;1149.4363175507713
41;35.3;35;Electricity, gas, steam and air conditioning supply;15;57;8.19391989449828e-05;32;0.0001638646625308;39;19;52;18;26;21;22;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.06255800599071905;0.18559206460858138;763.4686059443045
12;23.51;23;Manufacture of other non-metallic mineral products;58;96;0.0013408673854407;83;0.0025664419076596;92;15;29;21;28;22;23;C;MANUFACTURING;tab:cyan;0.9355718343085064;2.775579329442076;697.7362895593244
70;35.3;35;Electricity, gas, steam and air conditioning supply;40;5;4.1029113740286e-05;19;5.23915790987648e-05;22;57;7;26;24;23;24;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.02194372448900408;0.06510087827480232;534.833012185145
